No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
22,C.J. Anderson,23,RB,15,7,225,5-8,"Laney,California",2/10/1991,1,10,,DEN,2014,2025-08-15 13:56:23
76,Marvin Austin,25,DT,15,0,310,6-2,North Carolina,1/1/1989,2,1,New York Giants / 2nd / 52nd pick /2011,DEN,2014,2025-08-15 13:56:23
28,Montee Ball,24,RB,5,3,214,5-11,Wisconsin,12/5/1990,1,2,Denver Broncos / 2nd / 58th pick /2013,DEN,2014,2025-08-15 13:56:23
57,Lamin Barrow,24,LB,16,1,237,6-1,LSU,11/29/1990,Rook,1,Denver Broncos / 5th / 156th pick /2014,DEN,2014,2025-08-15 13:56:23
1,Connor Barth,28,K,5,0,193,5-11,North Carolina,4/11/1986,6,2,,DEN,2014,2025-08-15 13:56:23
31,Omar Bolden,26,DB,15,0,198,5-10,Arizona St.,12/20/1988,2,1,Denver Broncos / 4th / 101st pick /2012,DEN,2014,2025-08-15 13:56:23
46,Aaron Brewer,24,LS,16,0,232,6-5,San Diego St.,7/5/1990,2,1,,DEN,2014,2025-08-15 13:56:23
30,David Bruton,27,DB,14,1,210,6-2,Notre Dame,7/23/1987,5,1,Denver Broncos / 4th / 114th pick /2009,DEN,2014,2025-08-15 13:56:23
19,Isaiah Burse,23,WR,12,0,187,5-10,Fresno St.,12/8/1991,Rook,0,,DEN,2014,2025-08-15 13:56:23
20,Josh Bush,25,DB,2,0,208,5-11,Wake Forest,3/6/1989,2,0,New York Jets / 6th / 187th pick /2012,DEN,2014,2025-08-15 13:56:23
12,Andre Caldwell,29,WR,16,2,207,6-1,Florida,4/15/1985,6,0,Cincinnati Bengals / 3rd / 97th pick /2008,DEN,2014,2025-08-15 13:56:23
38,Quinton Carter,26,DB,11,0,211,6-1,Oklahoma,7/20/1988,3,1,Denver Broncos / 4th / 108th pick /2011,DEN,2014,2025-08-15 13:56:23
32,Tony Carter,28,DB,8,0,177,5-9,Florida St.,5/24/1986,5,1,,DEN,2014,2025-08-15 13:56:23
78,Ryan Clady,28,LT,16,16,315,6-6,Boise St.,9/6/1986,6,11,Denver Broncos / 1st / 12th pick /2008,DEN,2014,2025-08-15 13:56:23
75,Chris Clark,29,RT,13,7,305,6-5,Southern Miss,10/1/1985,4,4,,DEN,2014,2025-08-15 13:56:23
4,Britton Colquitt,29,P,16,0,210,6-3,Tennessee,3/20/1985,4,2,,DEN,2014,2025-08-15 13:56:23
71,Paul Cornick,25,T/TE,12,6,310,6-6,North Dakota St.,3/15/1989,Rook,4,,DEN,2014,2025-08-15 13:56:23
51,Todd Davis,22,LB,6,2,230,6-1,Sacramento St.,5/17/1992,Rook,1,,DEN,2014,2025-08-15 13:56:23
74,Orlando Franklin,27,LG,16,16,315,6-6,Miami (FL),12/16/1987,3,9,Denver Broncos / 2nd / 46th pick /2011,DEN,2014,2025-08-15 13:56:23
63,Ben Garland,26,DT,8,0,308,6-5,Air Force,4/6/1988,Rook,1,,DEN,2014,2025-08-15 13:56:23
85,Virgil Green,26,TE,13,9,255,6-5,Nevada,8/3/1988,3,1,Denver Broncos / 7th / 204th pick /2011,DEN,2014,2025-08-15 13:56:23
25,Chris Harris Jr.,25,RCB,16,16,199,5-10,Kansas,6/18/1989,3,11,,DEN,2014,2025-08-15 13:56:23
23,Ronnie Hillman,23,RB,8,4,200,5-9,San Diego St.,9/14/1991,2,5,Denver Broncos / 3rd / 67th pick /2012,DEN,2014,2025-08-15 13:56:23
56,Nate Irving,26,MLB,8,8,242,6-1,North Carolina St.,7/12/1988,3,4,Denver Broncos / 3rd / 67th pick /2011,DEN,2014,2025-08-15 13:56:23
97,Malik Jackson,24,DT,16,3,285,6-5,Tennessee,1/11/1990,2,3,Denver Broncos / 5th / 137th pick /2012,DEN,2014,2025-08-15 13:56:23
53,Steven Johnson,26,MLB,14,7,237,6-1,Kansas,3/28/1988,2,4,,DEN,2014,2025-08-15 13:56:23
86,Dominique Jones,27,TE,1,0,255,6-3,Shepherd,8/15/1987,2,0,,DEN,2014,2025-08-15 13:56:23
98,Terrance Knighton,28,RDT,16,16,295,6-2,Temple,7/4/1986,5,7,Jacksonville Jaguars / 3rd / 72nd pick /2009,DEN,2014,2025-08-15 13:56:23
14,Cody Latimer,22,WR,8,0,215,6-2,Indiana,10/10/1992,Rook,0,Denver Broncos / 2nd / 56th pick /2014,DEN,2014,2025-08-15 13:56:23
18,Peyton Manning,38,QB,16,16,230,6-5,Tennessee,3/24/1976,16,16,Indianapolis Colts / 1st / 1st pick /1998,DEN,2014,2025-08-15 13:56:23
54,Brandon Marshall,25,RLB,14,13,245,6-1,Nevada,9/10/1989,2,7,Jacksonville Jaguars / 5th / 142nd pick /2012,DEN,2014,2025-08-15 13:56:23
55,Lerentee McCray,24,LB,13,0,249,6-3,Florida,8/26/1990,Rook,1,,DEN,2014,2025-08-15 13:56:23
8,Brandon McManus,23,K,15,0,201,6-3,Temple,7/25/1991,1,1,,DEN,2014,2025-08-15 13:56:23
58,Von Miller,25,LLB,16,16,245,6-3,Texas A&M,3/26/1989,3,12,Denver Broncos / 1st / 2nd pick /2011,DEN,2014,2025-08-15 13:56:23
64,Will Montgomery,31,C,16,8,304,6-3,Virginia Tech,2/13/1983,8,5,Carolina Panthers / 7th / 234th pick /2006,DEN,2014,2025-08-15 13:56:23
26,Rahim Moore,24,FS,16,16,195,6-1,UCLA,2/11/1990,3,6,Denver Broncos / 2nd / 45th pick /2011,DEN,2014,2025-08-15 13:56:23
52,Corey Nelson,22,LB,16,0,226,6-1,Oklahoma,4/22/1992,Rook,1,Denver Broncos / 7th / 242nd pick /2014,DEN,2014,2025-08-15 13:56:23
17,Brock Osweiler,24,QB,4,0,240,6-7,Arizona St.,11/22/1990,2,0,Denver Broncos / 2nd / 57th pick /2012,DEN,2014,2025-08-15 13:56:23
66,Manuel Ramirez,31,RG/C,16,16,326,6-3,Texas Tech,2/19/1983,7,9,Detroit Lions / 4th / 117th pick /2007,DEN,2014,2025-08-15 13:56:23
29,Bradley Roby,22,DB,16,2,194,5-11,Ohio St.,5/1/1992,Rook,2,Denver Broncos / 1st / 31st pick /2014,DEN,2014,2025-08-15 13:56:23
10,Emmanuel Sanders,27,WR,16,16,180,5-11,SMU,3/17/1987,4,14,Pittsburgh Steelers / 3rd / 82nd pick /2010,DEN,2014,2025-08-15 13:56:23
93,Quanterus Smith,25,DE,15,0,250,6-5,Western Kentucky,11/26/1989,Rook,1,Denver Broncos / 5th / 146th pick /2013,DEN,2014,2025-08-15 13:56:23
27,Jeremy Stewart,25,RB,6,0,230,6-1,Stanford,2/19/1989,2,0,,DEN,2014,2025-08-15 13:56:23
21,Aqib Talib,28,LCB,15,15,209,6-1,Kansas,2/13/1986,6,9,Tampa Bay Buccaneers / 1st / 20th pick /2008,DEN,2014,2025-08-15 13:56:23
84,Jacob Tamme,29,TE,15,0,234,6-4,Kentucky,3/15/1985,6,1,Indianapolis Colts / 4th / 127th pick /2008,DEN,2014,2025-08-15 13:56:23
88,Demaryius Thomas,27,WR,16,16,225,6-3,Georgia Tech,12/25/1987,4,16,Denver Broncos / 1st / 22nd pick /2010,DEN,2014,2025-08-15 13:56:23
80,Julius Thomas,26,TE,13,10,256,6-5,Portland St.,6/27/1988,3,5,Denver Broncos / 4th / 129th pick /2011,DEN,2014,2025-08-15 13:56:23
40,Juwan Thompson,22,RB,15,0,210,6-2,Duke,5/13/1992,Rook,2,,DEN,2014,2025-08-15 13:56:23
59,Danny Trevathan,24,LB,3,1,239,6-0,Kentucky,3/24/1990,2,1,Denver Broncos / 6th / 188th pick /2012,DEN,2014,2025-08-15 13:56:23
96,Mitch Unrein,27,DE,8,0,301,6-4,Wyoming,3/25/1987,3,1,,DEN,2014,2025-08-15 13:56:23
65,Louis Vasquez,27,RT/RG,16,16,330,6-4,Texas Tech,4/11/1987,5,9,San Diego Chargers / 3rd / 78th pick /2009,DEN,2014,2025-08-15 13:56:23
43,T.J. Ward,28,SS,15,15,200,5-10,Oregon,12/12/1986,4,7,Cleveland Browns / 2nd / 38th pick /2010,DEN,2014,2025-08-15 13:56:23
94,DeMarcus Ware,32,RDE,16,15,258,6-4,Troy,7/31/1982,9,10,Dallas Cowboys / 1st / 11th pick /2005,DEN,2014,2025-08-15 13:56:23
36,Kayvon Webster,23,DB,12,0,190,5-11,South Florida,2/1/1991,1,1,Denver Broncos / 3rd / 90th pick /2013,DEN,2014,2025-08-15 13:56:23
83,Wes Welker,33,WR,14,8,185,5-9,Texas Tech,5/1/1981,10,5,,DEN,2014,2025-08-15 13:56:23
92,Sylvester Williams,26,LDT,16,13,328,6-2,North Carolina,11/21/1988,1,6,Denver Broncos / 1st / 28th pick /2013,DEN,2014,2025-08-15 13:56:23
95,Derek Wolfe,24,LDE,16,16,285,6-5,Cincinnati,2/24/1990,2,7,Denver Broncos / 2nd / 36th pick /2012,DEN,2014,2025-08-15 13:56:23
